words,sentiment_coeff
pruebas,-100.26019290965836
antibody,-67.55886865552256
risk,-96.64114411471046
must_read,-71.11117222165089
posible,-49.85818007676535
casos_confirmados,-28.06724575540315
lucha,-80.92976283518844
house_passes,-85.37651058741507
ri,-125.46939054562668
total,-55.498262090301786
complications,-74.57514694259018
108,-33.60520575204418
ny,-103.6111372678401
champion,-77.57164032649489
team,-104.94276117740465
needs,-113.83856557421402
data,-110.74711027342207
drug,-101.81401290091922
rien,-108.96499207640707
terdampak,-108.72226556618331
link,-73.95071730426125
ce,-91.04125579839094
est_pas,-34.45340982907619
four,-103.69231163511745
times,-107.32510680288661
official,-103.32958088393296
china,-119.58557667262241
contact_tracing,-70.27316722649827
let_us,-22.61780787676959
nearly,-99.97567730796911
curve,-83.7045423396515
news,-95.46956307882752
mexico,-98.21774706523809
hold,-80.93355303780952
quarantine,-121.90391208612525
increase,-71.5113922364947
direction_cashless,-65.43774160607414
social_distancing,-38.28429068358847
ketua,-113.32872045581475
potential,-94.63158062050304
wave,-86.36544604671447
sa,-68.03367190116003
story,-105.6623176937203
end,-108.95879968495129
system,-112.653622964939
finds,-94.89303954425296
pour,-99.16456606638684
herman,-83.56943534174479
using,-93.09777441652119
global,-118.44133524619748
22,-91.09147003138975
young_adults,1.0015402439407282
amidst,-66.70033539386624
unemployment,-109.14298024822064
millions_pounds,-78.16210850250769
fallecidos,-44.38481141925151
rises,-71.42085374853292
disinfectants,-92.31869445622078
first_known,-50.70369925239588
peaceful,-89.06962795083393
god,-106.00622259127537
help_us,-34.12574964347886
millions,-101.83868429956213
nasa,-106.2657079835196
body,-103.6242230005571
impacts,-29.696755614807497
disinfectants_could,1.0018279381660682
instead,-98.51899668960667
age_cashless,-63.469874822817694
advisor_mos,1.0030659945364788
suggestion_heat,-90.2752384347597
digial_age,-73.19844801384454
latest,-90.80373647900338
bleach,-55.4184279587081
cure_wrote,-33.9378517719586
wrote,-84.87945802051735
week,-104.0294080033937
group,-99.02560900444473
24,-102.28916374954973
04_2020,-65.67708197157933
outcry,-81.77362715159263
suggests,-77.47894575684496
advisory,-63.61308621957495
cummings_secret,-88.49857949688487
scientific,-118.48797778266871
treatments,-39.92252874533135
briefing,-65.3522242746073
passes,-89.56619548271013
commitment_humility,-83.89440715759477
defeat,-82.99470840068325
india,-122.49387563541764
easily,-103.921532727921
sachin_rt,-83.41602509041483
now,-93.88408469204144
amarprasadreddy,0.9999819151743665
media,-94.84694546728436
medical_experts,-95.1336166596573
denounce,-86.87513432440949
toll_passes,-59.31264642437225
50,-107.92238357678305
year,-88.76177170119715
possible,-113.28208250252015
kill,-98.9105540591581
last,-92.56358241106409
erickson,-55.56076281860824
uk_ministers,-92.18024269680963
warned,-96.52419207684916
year_risks,-52.590374813492154
disinfectant_firm,-83.41805647510911
dr_erickson,-17.34652263720539
risks,-83.93093867239975
americans,-120.1357077158034
tells,-89.47693938667793
customers,-88.5502045527267
inject,-73.14375090180152
revealed,-101.9542460563
uv_light,-69.75160708186712
human,-111.71629491553271
process,-43.678958163682346
viernes,-82.61682208319075
reporting,-85.58826559621043
dominic_cummings,-112.89843844838603
secret,-105.53056036899945
pa,1.0004420056733778
count,-69.15134709060727
cummings,-83.09409671613116
200,-88.88690996574043
accuracy,1.0006471922622862
stop_spread,0.9997463520253493
msnbc,-99.58850869387973
il,-67.69566403573032
education,-116.91347342646372
sick,-72.71482173557759
birx,-75.77724828662824
defeated,-49.42786702228361
fought,-79.61171135078851
pressing_towards,-70.13272886915173
tops,-71.9042295881619
moving_towards,-66.99558306085225
americans_dead,-8.08296560189297
save_lives,-48.04179324980247
you,-77.13626174989797
did_know,-72.5169370858193
thousand_americans,-43.052206884074565
society_physical,-64.24006824010446
cash,-70.90657156531445
world_leaders,-95.03431755033631
launch,-91.81271521976832
dead,-90.82128217883512
mundo,-80.68271642827105
alone,-66.37044315213153
causa,-115.02899942570643
jesus_spoke,-79.98464770534267
would,-99.89736680598703
detected_particles,-62.556743538839
air,-110.68485497848211
spoke_book,-52.16921032985058
revelation,-54.3462698456824
silver,-90.34051062009395
white,-109.1913445215908
barely_sick,-33.87506922583112
australia,-104.15215242379894
new_zealand,-78.93951483328163
bible_spoke,-82.36054572674996
contro_il,1.0007839882283336
treating,-93.11267393251065
way,-106.44307986443265
something,-103.87773093473317
taxes,-108.23340650629703
said,-82.6485000090222
comments,-105.8627517111795
almost,-101.90135826277333
cleaning,-71.4982051028364
video,-99.77539658497761
via_gatewaypundit,-64.65919897929876
dying_strokes,-78.48777709153995
hear_jesus,-66.97381166018509
around_world,1.000174294200524
drugs,-92.6610403843421
aged,-90.12765802907296
injection,-99.61142516626727
issues,-110.67747722939643
did_you,-57.4720363171033
driving_towards,-71.1402736373699
warning,-113.07225624977679
tratar,-37.23634390873402
please,-93.5025261851441
toll_tops,-37.510564000809474
roll,-88.61870819150441
back,-107.97259145071395
progress,-76.37240643399652
oneworld,-60.08109708599623
ever,-95.41335059710133
diseases,-50.62623603007576
lives,-96.49643577671632
preventable,-88.50458787785189
save,-103.7584024008577
combatir,-99.66378399748142
borisjohnson,-71.0954053314149
hear_bible,-72.88627391291008
support_gavi,-69.24362867919898
working,-102.80412096355474
around,-100.04673436023677
37,-71.83096204764367
stop,-114.01903219232331
thank,-91.92332104671284
friday,-82.28275750064171
donald_trump,-16.422347025139565
death_rates,-59.82707380785267
get_rid,0.9976069404780593
warns,-112.96287315734371
dangerous,-114.47989800589176
experts,-83.22222354222185
rip,-112.86070057538717
inside,-100.0946464067783
block,-109.0117403486714
aid,-88.10294732623576
idea,-87.21640460003637
recovered,-71.51491320415825
washington,-95.37507981633028
25,-90.1396757143094
managing,-40.327274096366466
kim_jong,-89.11297198943923
un,-89.47996559924614
april_25,-37.33539196086526
signed_petition,-80.58641223273636
calling,-95.84380652169776
government,-113.38958691885884
briefings,-89.51702635941918
daily,-102.70034048932186
british,-91.78123944712495
provide,-98.00347858883376
petition_calling,1.0009877402277085
via_38,-55.48833980724869
degrees,-55.393605577312655
following,-111.17594712067657
spike,-82.48084316233076
yorkers,-91.89007100688696
household,-98.16408073144564
controversial,-100.82392903892685
young_people,1.0031037422185887
center,-96.11749980567167
firm,-112.75672927947066
numbers,-86.8516021516915
evidence,-98.68547551148477
needs_resign,-50.32925850623845
second,-104.08119740403136
says,-114.83440673478918
30s_40s,-3.8866316432753414
clear,-89.35100471348092
say,-100.03588516283746
control,-116.13362285276277
donald,-108.94072779279378
reinfected,-27.12077702034817
point,-101.29162689338612
debacle,-43.056976418396765
pass,-77.33751875086008
20,-109.39521280075294
washington_post,-20.267315272133217
reports,-104.56110908758387
antibodies,-76.7223432298946
milestone,-81.55742629371575
survivor,-57.76711879885926
hospital,-113.5794636059431
add,-60.35333749900924
report,-123.359725586837
states,-119.44177780860979
tech,-82.91822776186251
youtube,-100.97375916056853
got,-93.02498430181669
science,-115.12540384896393
right,-112.8783783914073
prediction,1.0015554041250996
must,-106.23684275320558
businesses,-88.07227686526778
open,-89.19828902802637
doctors,-111.56654867397974
200_000,-37.38366467955339
87,-102.28843630694828
disinformation,-70.1201198948918
begin,-107.58900157840341
key,-115.49192002630848
rise,-81.25042624979888
hits,-79.80341623880051
highest,-93.61683376277725
attempt,-81.84144095500095
