AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,date,period,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
65-74,3895.62,1778.67,673.28,08-23-2020,13,27235.0,12435.0,4707.0
75+,4692.35,2848.58,1699.89,08-23-2020,13,25666.0,15581.0,9298.0
Citywide,2719.79,677.74,226.43,08-23-2020,13,228428.0,56922.0,19017.0
0-17,423.53,36.19,0.69,08-24-2020,13,7314.0,625.0,12.0
18-44,2572.05,276.58,21.63,08-24-2020,13,86670.0,9320.0,729.0
45-64,3951.08,923.32,207.78,08-24-2020,13,81236.0,18984.0,4272.0
65-74,3897.77,1779.1,673.42,08-24-2020,13,27250.0,12438.0,4708.0
75+,4693.08,2849.49,1700.81,08-24-2020,13,25670.0,15586.0,9303.0
Citywide,2722.04,678.14,226.52,08-24-2020,13,228617.0,56955.0,19025.0
0-17,424.51,36.19,0.69,08-25-2020,13,7331.0,625.0,12.0
18-44,2574.36,276.73,21.66,08-25-2020,13,86748.0,9325.0,730.0
45-64,3953.36,923.37,207.78,08-25-2020,13,81283.0,18985.0,4272.0
65-74,3899.91,1779.24,673.56,08-25-2020,13,27265.0,12439.0,4709.0
75+,4694.91,2850.4,1701.17,08-25-2020,13,25680.0,15591.0,9305.0
Citywide,2724.07,678.28,226.57,08-25-2020,13,228788.0,56967.0,19029.0
0-17,425.44,36.25,0.69,08-26-2020,13,7347.0,626.0,12.0
18-44,2577.27,276.79,21.63,08-26-2020,13,86846.0,9327.0,729.0
45-64,3955.55,923.52,207.58,08-26-2020,13,81328.0,18988.0,4268.0
65-74,3901.63,1779.53,673.71,08-26-2020,13,27277.0,12441.0,4710.0
75+,4697.29,2851.5,1702.09,08-26-2020,13,25693.0,15597.0,9310.0
Citywide,2726.25,678.46,226.58,08-26-2020,13,228971.0,56982.0,19030.0
0-17,426.89,36.25,0.69,08-27-2020,13,7372.0,626.0,12.0
18-44,2580.54,276.97,21.63,08-27-2020,13,86956.0,9333.0,729.0
45-64,3959.15,923.81,207.63,08-27-2020,13,81402.0,18994.0,4269.0
65-74,3904.78,1779.67,674.28,08-27-2020,13,27299.0,12442.0,4714.0
75+,4698.57,2852.96,1702.45,08-27-2020,13,25700.0,15605.0,9312.0
Citywide,2729.06,678.71,226.66,08-27-2020,13,229207.0,57003.0,19037.0
0-17,428.91,36.25,0.69,08-28-2020,13,7407.0,626.0,12.0
18-44,2585.37,277.15,21.63,08-28-2020,13,87119.0,9339.0,729.0
45-64,3962.55,924.25,207.68,08-28-2020,13,81472.0,19003.0,4270.0
65-74,3908.21,1780.82,674.71,08-28-2020,13,27323.0,12450.0,4717.0
75+,4701.86,2853.7,1703.0,08-28-2020,13,25718.0,15609.0,9315.0
Citywide,2732.76,679.03,226.75,08-28-2020,13,229518.0,57030.0,19044.0
0-17,431.0,36.31,0.69,08-29-2020,13,7443.0,627.0,12.0
18-44,2588.91,277.33,21.63,08-29-2020,13,87238.0,9345.0,729.0
45-64,3965.28,924.44,207.78,08-29-2020,13,81528.0,19007.0,4272.0
65-74,3909.93,1781.39,674.85,08-29-2020,13,27335.0,12454.0,4718.0
75+,4704.05,2855.16,1703.0,08-29-2020,13,25730.0,15617.0,9315.0
Citywide,2735.54,679.3,226.78,08-29-2020,13,229751.0,57053.0,19047.0
0-17,432.1,36.48,0.69,08-30-2020,13,7462.0,630.0,12.0
18-44,2592.65,277.98,21.63,08-30-2020,13,87364.0,9367.0,729.0
45-64,3968.44,924.88,207.73,08-30-2020,13,81593.0,19016.0,4271.0
65-74,3912.64,1782.1,674.71,08-30-2020,13,27354.0,12459.0,4717.0
75+,4704.24,2855.52,1702.45,08-30-2020,13,25731.0,15619.0,9312.0
Citywide,2738.27,679.78,226.72,08-30-2020,13,229980.0,57093.0,19042.0
0-17,433.31,36.48,0.69,08-31-2020,13,7483.0,630.0,12.0
18-44,2595.97,278.19,21.72,08-31-2020,13,87476.0,9374.0,732.0
45-64,3970.92,925.17,207.83,08-31-2020,13,81644.0,19022.0,4273.0
65-74,3915.22,1782.96,675.14,08-31-2020,13,27372.0,12465.0,4720.0
75+,4707.89,2856.99,1703.37,08-31-2020,13,25751.0,15627.0,9317.0
Citywide,2740.94,680.1,226.88,08-31-2020,13,230205.0,57120.0,19055.0
0-17,435.11,36.48,0.69,09-01-2020,14,7514.0,630.0,12.0
18-44,2600.15,278.22,21.78,09-01-2020,14,87617.0,9375.0,734.0
45-64,3975.25,925.51,207.83,09-01-2020,14,81733.0,19029.0,4273.0
65-74,3917.79,1783.39,675.28,09-01-2020,14,27390.0,12468.0,4721.0
75+,4710.27,2857.9,1703.73,09-01-2020,14,25764.0,15632.0,9319.0
Citywide,2744.41,680.29,226.94,09-01-2020,14,230496.0,57136.0,19060.0
0-17,437.19,36.48,0.69,09-02-2020,14,7550.0,630.0,12.0
18-44,2603.86,278.36,21.78,09-02-2020,14,87742.0,9380.0,734.0
45-64,3977.97,926.0,207.83,09-02-2020,14,81789.0,19039.0,4273.0
65-74,3919.51,1783.96,675.57,09-02-2020,14,27402.0,12472.0,4723.0
75+,4713.38,2859.55,1703.92,09-02-2020,14,25781.0,15641.0,9320.0
Citywide,2747.36,680.63,226.97,09-02-2020,14,230744.0,57164.0,19063.0
0-17,439.51,36.48,0.69,09-03-2020,14,7590.0,630.0,12.0
18-44,2609.26,278.51,21.72,09-03-2020,14,87924.0,9385.0,732.0
45-64,3981.57,926.29,207.87,09-03-2020,14,81863.0,19045.0,4274.0
65-74,3922.23,1784.39,675.42,09-03-2020,14,27421.0,12475.0,4722.0
75+,4715.75,2861.56,1704.83,09-03-2020,14,25794.0,15652.0,9325.0
Citywide,2751.22,680.92,227.01,09-03-2020,14,231068.0,57189.0,19066.0
0-17,440.9,36.54,0.69,09-04-2020,14,7614.0,631.0,12.0
18-44,2612.29,278.75,21.78,09-04-2020,14,88026.0,9393.0,734.0
45-64,3984.63,926.53,207.87,09-04-2020,14,81926.0,19050.0,4274.0
65-74,3925.09,1785.39,675.71,09-04-2020,14,27441.0,12482.0,4724.0
75+,4717.77,2863.38,1705.38,09-04-2020,14,25805.0,15662.0,9328.0
Citywide,2753.86,681.29,227.09,09-04-2020,14,231290.0,57220.0,19073.0
0-17,442.23,36.54,0.69,09-05-2020,14,7637.0,631.0,12.0
18-44,2616.89,279.02,21.81,09-05-2020,14,88181.0,9402.0,735.0
45-64,3988.82,926.78,208.02,09-05-2020,14,82012.0,19055.0,4277.0
65-74,3928.24,1785.96,675.85,09-05-2020,14,27463.0,12486.0,4725.0
75+,4720.87,2863.93,1705.75,09-05-2020,14,25822.0,15665.0,9330.0
Citywide,2757.48,681.54,227.18,09-05-2020,14,231594.0,57241.0,19080.0
0-17,444.26,36.54,0.69,09-07-2020,14,7672.0,631.0,12.0
18-44,2620.51,279.46,21.9,09-07-2020,14,88303.0,9417.0,738.0
45-64,3990.76,927.31,208.07,09-07-2020,14,82052.0,19066.0,4278.0
65-74,3930.52,1786.97,676.42,09-07-2020,14,27479.0,12493.0,4729.0
75+,4723.98,2865.03,1706.11,09-07-2020,14,25839.0,15671.0,9332.0
Citywide,2760.22,682.01,227.3,09-07-2020,14,231824.0,57280.0,19090.0
0-17,444.14,36.54,0.69,09-08-2020,14,7670.0,631.0,12.0
18-44,2623.92,279.55,21.9,09-08-2020,14,88418.0,9420.0,738.0
45-64,3994.26,927.6,208.12,09-08-2020,14,82124.0,19072.0,4279.0
65-74,3932.24,1787.25,676.42,09-08-2020,14,27491.0,12495.0,4729.0
75+,4725.44,2865.94,1707.39,09-08-2020,14,25847.0,15676.0,9339.0
Citywide,2762.75,682.2,227.39,09-08-2020,14,232036.0,57296.0,19098.0
0-17,445.59,36.6,0.69,09-09-2020,14,7695.0,632.0,12.0
18-44,2626.8,279.73,21.87,09-09-2020,14,88515.0,9426.0,737.0
45-64,3996.55,928.09,208.07,09-09-2020,14,82171.0,19082.0,4278.0
65-74,3934.24,1787.25,676.28,09-09-2020,14,27505.0,12495.0,4728.0
75+,4727.82,2867.41,1707.94,09-09-2020,14,25860.0,15684.0,9342.0
Citywide,2765.08,682.49,227.39,09-09-2020,14,232232.0,57321.0,19098.0
0-17,448.78,36.71,0.69,09-10-2020,14,7750.0,634.0,12.0
18-44,2633.87,279.88,21.9,09-10-2020,14,88753.0,9431.0,738.0
45-64,4002.68,928.58,208.02,09-10-2020,14,82297.0,19092.0,4277.0
65-74,3940.68,1787.97,676.28,09-10-2020,14,27550.0,12500.0,4728.0
75+,4730.38,2868.32,1708.12,09-10-2020,14,25874.0,15689.0,9343.0
Citywide,2770.77,682.82,227.4,09-10-2020,14,232710.0,57348.0,19099.0
0-17,450.45,36.77,0.69,09-11-2020,14,7779.0,635.0,12.0
18-44,2637.31,280.06,21.93,09-11-2020,14,88869.0,9437.0,739.0
45-64,4005.21,929.26,208.17,09-11-2020,14,82349.0,19106.0,4280.0
65-74,3942.83,1789.68,677.28,09-11-2020,14,27565.0,12512.0,4735.0
75+,4731.11,2870.7,1709.22,09-11-2020,14,25878.0,15702.0,9349.0
Citywide,2773.34,683.36,227.61,09-11-2020,14,232926.0,57394.0,19116.0
0-17,451.9,36.77,0.69,09-12-2020,14,7804.0,635.0,12.0
18-44,2642.15,280.23,21.93,09-12-2020,14,89032.0,9443.0,739.0
45-64,4008.86,929.6,208.12,09-12-2020,14,82424.0,19113.0,4279.0
65-74,3945.4,1790.4,677.14,09-12-2020,14,27583.0,12517.0,4734.0
75+,4732.76,2871.61,1710.32,09-12-2020,14,25887.0,15707.0,9355.0
Citywide,2776.79,683.64,227.65,09-12-2020,14,233216.0,57417.0,19120.0
0-17,453.47,36.77,0.69,09-14-2020,14,7831.0,635.0,12.0
18-44,2649.15,280.26,21.96,09-14-2020,14,89268.0,9444.0,740.0
45-64,4014.01,929.74,208.17,09-14-2020,14,82530.0,19116.0,4280.0
65-74,3949.98,1790.83,677.42,09-14-2020,14,27615.0,12520.0,4736.0
75+,4735.87,2871.79,1710.32,09-14-2020,14,25904.0,15708.0,9355.0
Citywide,2781.8,683.73,227.7,09-14-2020,14,233636.0,57425.0,19124.0
0-17,455.26,36.77,0.69,09-15-2020,15,7862.0,635.0,12.0
18-44,2654.58,280.35,22.02,09-15-2020,15,89451.0,9447.0,742.0
45-64,4018.34,929.89,208.21,09-15-2020,15,82619.0,19119.0,4281.0
65-74,3953.12,1791.11,677.57,09-15-2020,15,27637.0,12522.0,4737.0
75+,4737.69,2872.53,1710.86,09-15-2020,15,25914.0,15712.0,9358.0
Citywide,2785.8,683.88,227.78,09-15-2020,15,233972.0,57437.0,19131.0
0-17,457.23,36.77,0.69,09-16-2020,15,7896.0,635.0,12.0
18-44,2658.76,280.65,22.02,09-16-2020,15,89592.0,9457.0,742.0
45-64,4020.97,930.13,208.26,09-16-2020,15,82673.0,19124.0,4282.0
65-74,3954.98,1791.69,677.57,09-16-2020,15,27650.0,12526.0,4737.0
75+,4739.7,2873.26,1711.23,09-16-2020,15,25925.0,15716.0,9360.0
Citywide,2788.81,684.15,227.82,09-16-2020,15,234225.0,57460.0,19134.0
0-17,458.68,36.71,0.69,09-17-2020,15,7921.0,634.0,12.0
18-44,2663.33,280.77,22.02,09-17-2020,15,89746.0,9461.0,742.0
45-64,4023.45,930.28,208.41,09-17-2020,15,82724.0,19127.0,4285.0
65-74,3958.85,1791.83,677.71,09-17-2020,15,27677.0,12527.0,4738.0
75+,4742.63,2874.17,1711.96,09-17-2020,15,25941.0,15721.0,9364.0
Citywide,2792.08,684.29,227.91,09-17-2020,15,234500.0,57472.0,19142.0
0-17,460.36,36.83,0.69,09-18-2020,15,7950.0,636.0,12.0
18-44,2668.62,280.86,22.02,09-18-2020,15,89924.0,9464.0,742.0
45-64,4027.24,930.52,208.6,09-18-2020,15,82802.0,19132.0,4289.0
65-74,3962.99,1792.12,677.57,09-18-2020,15,27706.0,12529.0,4737.0
75+,4745.19,2874.9,1712.33,09-18-2020,15,25955.0,15725.0,9366.0
Citywide,2795.98,684.48,227.97,09-18-2020,15,234827.0,57488.0,19147.0
0-17,465.39,36.83,0.69,09-19-2020,15,8037.0,636.0,12.0
18-44,2679.18,280.92,21.99,09-19-2020,15,90280.0,9466.0,741.0
45-64,4033.9,930.67,208.6,09-19-2020,15,82939.0,19135.0,4289.0
65-74,3969.29,1792.69,677.71,09-19-2020,15,27750.0,12533.0,4738.0
75+,4747.02,2875.09,1712.14,09-19-2020,15,25965.0,15726.0,9365.0
Citywide,2803.53,684.6,227.96,09-19-2020,15,235461.0,57498.0,19146.0
0-17,466.67,36.94,0.75,09-20-2020,15,8059.0,638.0,13.0
18-44,2682.65,281.01,21.99,09-20-2020,15,90397.0,9469.0,741.0
45-64,4035.61,930.57,208.65,09-20-2020,15,82974.0,19133.0,4290.0
65-74,3971.15,1792.97,677.71,09-20-2020,15,27763.0,12535.0,4738.0
75+,4747.38,2875.82,1712.33,09-20-2020,15,25967.0,15730.0,9366.0
Citywide,2805.76,684.71,228.0,09-20-2020,15,235649.0,57507.0,19149.0
0-17,468.35,37.0,0.75,09-21-2020,15,8088.0,639.0,13.0
18-44,2687.67,281.01,21.99,09-21-2020,15,90566.0,9469.0,741.0
45-64,4039.93,930.62,208.65,09-21-2020,15,83063.0,19134.0,4290.0
65-74,3973.58,1793.12,677.85,09-21-2020,15,27780.0,12536.0,4739.0
75+,4750.31,2876.18,1712.69,09-21-2020,15,25983.0,15732.0,9368.0
Citywide,2809.57,684.77,228.03,09-21-2020,15,235969.0,57512.0,19152.0
0-17,471.01,37.29,0.75,09-22-2020,15,8134.0,644.0,13.0
18-44,2691.91,281.9,22.02,09-22-2020,15,90709.0,9499.0,742.0
45-64,4043.63,932.27,208.65,09-22-2020,15,83139.0,19168.0,4290.0
65-74,3976.15,1795.41,677.85,09-22-2020,15,27798.0,12552.0,4739.0
75+,4750.67,2880.02,1712.69,09-22-2020,15,25985.0,15753.0,9368.0
Citywide,2812.95,686.03,228.05,09-22-2020,15,236253.0,57618.0,19153.0
0-17,471.71,37.41,0.75,09-23-2020,15,8146.0,646.0,13.0
18-44,2695.3,282.46,22.02,09-23-2020,15,90823.0,9518.0,742.0
45-64,4046.26,933.39,208.65,09-23-2020,15,83193.0,19191.0,4290.0
65-74,3978.16,1796.84,677.85,09-23-2020,15,27812.0,12562.0,4739.0
75+,4752.69,2884.41,1712.51,09-23-2020,15,25996.0,15777.0,9367.0
Citywide,2815.44,686.96,228.03,09-23-2020,15,236462.0,57696.0,19152.0
0-17,474.54,37.64,0.75,09-24-2020,15,8195.0,650.0,13.0
18-44,2701.17,282.88,22.02,09-24-2020,15,91021.0,9532.0,742.0
45-64,4050.05,934.46,208.6,09-24-2020,15,83271.0,19213.0,4289.0
65-74,3982.16,1798.84,677.85,09-24-2020,15,27840.0,12576.0,4739.0
75+,4756.71,2887.52,1713.97,09-24-2020,15,26018.0,15794.0,9375.0
Citywide,2819.96,687.8,228.12,09-24-2020,15,236841.0,57767.0,19159.0
0-17,478.08,37.76,0.75,09-25-2020,15,8256.0,652.0,13.0
18-44,2707.08,283.44,22.05,09-25-2020,15,91220.0,9551.0,743.0
45-64,4054.28,936.21,208.65,09-25-2020,15,83358.0,19249.0,4290.0
65-74,3985.74,1802.56,678.0,09-25-2020,15,27865.0,12602.0,4740.0
75+,4760.55,2891.91,1714.52,09-25-2020,15,26039.0,15818.0,9378.0
Citywide,2824.55,689.08,228.19,09-25-2020,15,237227.0,57874.0,19165.0
0-17,481.67,37.87,0.75,09-26-2020,15,8318.0,654.0,13.0
18-44,2713.52,284.12,22.05,09-26-2020,15,91437.0,9574.0,743.0
45-64,4058.56,937.92,208.7,09-26-2020,15,83446.0,19284.0,4291.0
65-74,3989.31,1805.13,678.0,09-26-2020,15,27890.0,12620.0,4740.0
75+,4762.56,2895.38,1714.7,09-26-2020,15,26050.0,15837.0,9379.0
Citywide,2829.33,690.23,228.21,09-26-2020,15,237628.0,57971.0,19167.0
0-17,484.5,37.99,0.75,09-27-2020,15,8367.0,656.0,13.0
18-44,2718.74,285.04,22.08,09-27-2020,15,91613.0,9605.0,744.0
45-64,4062.31,938.89,208.75,09-27-2020,15,83523.0,19304.0,4292.0
65-74,3991.89,1807.28,678.14,09-27-2020,15,27908.0,12635.0,4741.0
75+,4766.58,2898.12,1714.89,09-27-2020,15,26072.0,15852.0,9380.0
Citywide,2833.41,691.22,228.26,09-27-2020,15,237971.0,58054.0,19171.0
0-17,486.7,38.16,0.81,09-28-2020,15,8405.0,659.0,14.0
18-44,2724.71,287.5,22.14,09-28-2020,15,91814.0,9688.0,746.0
45-64,4066.49,940.64,208.8,09-28-2020,15,83609.0,19340.0,4293.0
65-74,3995.61,1810.42,678.28,09-28-2020,15,27934.0,12657.0,4742.0
75+,4769.69,2904.15,1715.25,09-28-2020,15,26089.0,15885.0,9382.0
Citywide,2837.78,693.33,228.34,09-28-2020,15,238338.0,58231.0,19178.0
0-17,490.24,38.51,0.81,09-29-2020,16,8466.0,665.0,14.0
18-44,2730.73,288.87,22.14,09-29-2020,16,92017.0,9734.0,746.0
45-64,4071.01,941.61,208.8,09-29-2020,16,83702.0,19360.0,4293.0
65-74,3998.61,1813.0,678.57,09-29-2020,16,27955.0,12675.0,4744.0
75+,4772.8,2907.45,1715.8,09-29-2020,16,26106.0,15903.0,9385.0
Citywide,2842.48,694.62,228.4,09-29-2020,16,238733.0,58339.0,19183.0
0-17,493.31,38.91,0.81,09-30-2020,16,8519.0,672.0,14.0
18-44,2738.12,291.24,22.14,09-30-2020,16,92266.0,9814.0,746.0
45-64,4077.39,943.8,208.9,09-30-2020,16,83833.0,19405.0,4295.0
65-74,4003.76,1817.0,678.57,09-30-2020,16,27991.0,12703.0,4744.0
75+,4775.36,2914.03,1716.17,09-30-2020,16,26120.0,15939.0,9387.0
Citywide,2848.27,696.95,228.45,09-30-2020,16,239219.0,58535.0,19187.0
0-17,496.49,39.9,0.81,10-01-2020,16,8574.0,689.0,14.0
18-44,2744.8,297.15,22.11,10-01-2020,16,92491.0,10013.0,745.0
45-64,4083.27,947.69,208.99,10-01-2020,16,83954.0,19485.0,4297.0
65-74,4010.34,1824.73,678.86,10-01-2020,16,28037.0,12757.0,4746.0
75+,4779.38,2923.9,1716.53,10-01-2020,16,26142.0,15993.0,9389.0
Citywide,2853.82,701.76,228.51,10-01-2020,16,239685.0,58939.0,19192.0
0-17,501.82,40.3,0.81,10-02-2020,16,8666.0,696.0,14.0
18-44,2754.08,299.05,22.17,10-02-2020,16,92804.0,10077.0,747.0
45-64,4088.43,950.03,209.33,10-02-2020,16,84060.0,19533.0,4304.0
65-74,4014.63,1828.45,679.14,10-02-2020,16,28067.0,12783.0,4748.0
75+,4786.14,2930.85,1717.08,10-02-2020,16,26179.0,16031.0,9392.0
Citywide,2860.71,703.94,228.68,10-02-2020,16,240264.0,59122.0,19206.0
0-17,507.61,40.65,0.81,10-03-2020,16,8766.0,702.0,14.0
18-44,2762.75,302.19,22.14,10-03-2020,16,93096.0,10183.0,746.0
45-64,4095.96,952.56,209.43,10-03-2020,16,84215.0,19585.0,4306.0
65-74,4019.78,1831.74,679.14,10-03-2020,16,28103.0,12806.0,4748.0
75+,4791.08,2937.43,1717.08,10-03-2020,16,26206.0,16067.0,9392.0
Citywide,2867.96,706.59,228.69,10-03-2020,16,240873.0,59345.0,19207.0
0-17,512.3,40.65,0.81,10-04-2020,16,8847.0,702.0,14.0
18-44,2770.73,302.43,22.14,10-04-2020,16,93365.0,10191.0,746.0
45-64,4101.9,953.09,209.53,10-04-2020,16,84337.0,19596.0,4308.0
65-74,4024.07,1833.74,679.14,10-04-2020,16,28133.0,12820.0,4748.0
75+,4795.83,2939.26,1717.45,10-04-2020,16,26232.0,16077.0,9394.0
Citywide,2874.27,707.11,228.74,10-04-2020,16,241403.0,59388.0,19211.0
0-17,516.12,40.65,0.81,10-05-2020,16,8913.0,702.0,14.0
18-44,2777.05,302.52,22.14,10-05-2020,16,93578.0,10194.0,746.0
45-64,4106.37,953.77,209.58,10-05-2020,16,84429.0,19610.0,4309.0
65-74,4031.08,1835.31,679.14,10-05-2020,16,28182.0,12831.0,4748.0
75+,4799.49,2941.82,1718.18,10-05-2020,16,26252.0,16091.0,9398.0
Citywide,2879.5,707.61,228.8,10-05-2020,16,241842.0,59430.0,19216.0
0-17,522.61,39.55,0.81,10-06-2020,16,9025.0,683.0,14.0
18-44,2782.43,288.96,22.14,10-06-2020,16,93759.0,9737.0,746.0
45-64,4112.01,920.89,209.63,10-06-2020,16,84545.0,18934.0,4310.0
65-74,4035.94,1786.68,679.28,10-06-2020,16,28216.0,12491.0,4749.0
75+,4805.16,2878.92,1718.54,10-06-2020,16,26283.0,15747.0,9400.0
Citywide,2885.13,685.75,228.84,10-06-2020,16,242315.0,57594.0,19220.0
0-17,528.74,39.55,0.87,10-07-2020,16,9131.0,683.0,15.0
18-44,2790.32,289.08,22.17,10-07-2020,16,94025.0,9741.0,747.0
45-64,4118.82,921.48,209.67,10-07-2020,16,84685.0,18946.0,4311.0
65-74,4042.95,1787.54,679.57,10-07-2020,16,28265.0,12497.0,4751.0
75+,4809.73,2880.75,1719.64,10-07-2020,16,26308.0,15757.0,9406.0
Citywide,2892.12,686.13,228.97,10-07-2020,16,242902.0,57626.0,19231.0
0-17,531.35,39.55,0.87,10-08-2020,16,9176.0,683.0,15.0
18-44,2796.97,289.17,22.17,10-08-2020,16,94249.0,9744.0,747.0
45-64,4123.79,922.16,209.67,10-08-2020,16,84787.0,18960.0,4311.0
65-74,4047.67,1789.11,679.71,10-08-2020,16,28298.0,12508.0,4752.0
75+,4813.2,2882.22,1719.82,10-08-2020,16,26327.0,15765.0,9407.0
Citywide,2897.13,686.55,229.0,10-08-2020,16,243323.0,57662.0,19233.0
0-17,536.5,39.55,0.87,10-09-2020,16,9265.0,683.0,15.0
18-44,2805.63,289.4,22.2,10-09-2020,16,94541.0,9752.0,748.0
45-64,4131.52,922.64,209.67,10-09-2020,16,84946.0,18970.0,4311.0
65-74,4058.11,1789.83,679.86,10-09-2020,16,28371.0,12513.0,4753.0
75+,4819.78,2883.86,1720.19,10-09-2020,16,26363.0,15774.0,9409.0
Citywide,2904.9,686.94,229.05,10-09-2020,16,243975.0,57694.0,19237.0
0-17,541.6,39.61,0.87,10-10-2020,16,9353.0,684.0,15.0
18-44,2816.05,289.49,22.2,10-10-2020,16,94892.0,9755.0,748.0
45-64,4139.01,922.79,209.67,10-10-2020,16,85100.0,18973.0,4311.0
65-74,4064.12,1789.97,679.86,10-10-2020,16,28413.0,12514.0,4753.0
75+,4828.01,2884.59,1720.55,10-10-2020,16,26408.0,15778.0,9411.0
Citywide,2912.99,687.08,229.07,10-10-2020,16,244655.0,57706.0,19239.0
0-17,545.88,39.72,0.87,10-11-2020,16,9427.0,686.0,15.0
18-44,2822.9,289.79,22.2,10-11-2020,16,95123.0,9765.0,748.0
45-64,4143.82,923.81,209.67,10-11-2020,16,85199.0,18994.0,4311.0
65-74,4070.13,1791.83,679.86,10-11-2020,16,28455.0,12527.0,4753.0
75+,4832.76,2889.16,1720.74,10-11-2020,16,26434.0,15803.0,9412.0
Citywide,2918.63,687.92,229.08,10-11-2020,16,245128.0,57777.0,19240.0
0-17,548.32,39.78,0.87,10-12-2020,16,9469.0,687.0,15.0
18-44,2828.01,290.12,22.2,10-12-2020,16,95295.0,9776.0,748.0
45-64,4148.3,924.54,209.67,10-12-2020,16,85291.0,19009.0,4311.0
65-74,4073.13,1793.12,680.14,10-12-2020,16,28476.0,12536.0,4755.0
75+,4837.33,2891.72,1721.1,10-12-2020,16,26459.0,15817.0,9414.0
Citywide,2922.82,688.52,229.13,10-12-2020,16,245480.0,57827.0,19244.0
0-17,551.15,39.84,0.87,10-13-2020,17,9518.0,688.0,15.0
18-44,2834.21,290.21,22.2,10-13-2020,17,95504.0,9779.0,748.0
45-64,4153.84,924.88,209.77,10-13-2020,17,85405.0,19016.0,4313.0
65-74,4077.85,1793.97,680.14,10-13-2020,17,28509.0,12542.0,4755.0
75+,4839.34,2894.47,1722.02,10-13-2020,17,26470.0,15832.0,9419.0
Citywide,2927.77,688.9,229.21,10-13-2020,17,245896.0,57859.0,19251.0
0-17,554.74,39.84,0.87,10-14-2020,17,9580.0,688.0,15.0
18-44,2841.93,290.32,22.2,10-14-2020,17,95764.0,9783.0,748.0
45-64,4159.29,924.93,209.82,10-14-2020,17,85517.0,19017.0,4314.0
65-74,4083.57,1794.26,680.43,10-14-2020,17,28549.0,12544.0,4757.0
75+,4844.1,2894.83,1722.75,10-14-2020,17,26496.0,15834.0,9423.0
Citywide,2933.75,689.01,229.3,10-14-2020,17,246398.0,57868.0,19258.0
0-17,557.58,39.96,0.87,10-15-2020,17,9629.0,690.0,15.0
18-44,2848.49,292.64,22.23,10-15-2020,17,95985.0,9861.0,749.0
45-64,4164.79,927.02,209.87,10-15-2020,17,85630.0,19060.0,4315.0
65-74,4088.87,1798.41,680.57,10-15-2020,17,28586.0,12573.0,4758.0
75+,4847.57,2901.96,1723.3,10-15-2020,17,26515.0,15873.0,9426.0
Citywide,2938.96,691.28,229.37,10-15-2020,17,246836.0,58059.0,19264.0
0-17,562.39,40.19,0.87,10-16-2020,17,9712.0,694.0,15.0
18-44,2856.38,293.83,22.23,10-16-2020,17,96251.0,9901.0,749.0
45-64,4171.11,928.53,209.92,10-16-2020,17,85760.0,19091.0,4316.0
65-74,4095.3,1803.56,680.71,10-16-2020,17,28631.0,12609.0,4759.0
75+,4853.42,2907.99,1723.66,10-16-2020,17,26547.0,15906.0,9428.0
Citywide,2945.57,693.0,229.42,10-16-2020,17,247391.0,58203.0,19268.0
0-17,567.77,40.25,0.87,10-17-2020,17,9805.0,695.0,15.0
18-44,2863.74,294.12,22.23,10-17-2020,17,96499.0,9911.0,749.0
45-64,4178.02,929.31,210.01,10-17-2020,17,85902.0,19107.0,4318.0
65-74,4101.45,1804.42,680.71,10-17-2020,17,28674.0,12615.0,4759.0
75+,4856.71,2910.74,1724.39,10-17-2020,17,26565.0,15921.0,9432.0
Citywide,2952.06,693.57,229.49,10-17-2020,17,247936.0,58251.0,19274.0
0-17,571.36,40.25,0.87,10-18-2020,17,9867.0,695.0,15.0
18-44,2870.86,294.39,22.23,10-18-2020,17,96739.0,9920.0,749.0
45-64,4184.24,929.65,210.06,10-18-2020,17,86030.0,19114.0,4319.0
65-74,4107.6,1805.27,681.43,10-18-2020,17,28717.0,12621.0,4764.0
75+,4859.64,2911.47,1725.12,10-18-2020,17,26581.0,15925.0,9436.0
Citywide,2957.85,693.88,229.61,10-18-2020,17,248422.0,58277.0,19284.0
0-17,575.53,40.42,0.87,10-19-2020,17,9939.0,698.0,15.0
18-44,2878.4,294.95,22.23,10-19-2020,17,96993.0,9939.0,749.0
45-64,4190.32,931.69,210.21,10-19-2020,17,86155.0,19156.0,4322.0
65-74,4113.9,1807.99,681.57,10-19-2020,17,28761.0,12640.0,4765.0
75+,4864.57,2916.95,1725.86,10-19-2020,17,26608.0,15955.0,9440.0
Citywide,2964.07,695.22,229.7,10-19-2020,17,248945.0,58390.0,19292.0
0-17,578.95,40.48,0.87,10-20-2020,17,9998.0,699.0,15.0
18-44,2884.28,295.31,22.23,10-20-2020,17,97191.0,9951.0,749.0
45-64,4195.23,932.27,210.21,10-20-2020,17,86256.0,19168.0,4322.0
65-74,4117.62,1808.99,681.57,10-20-2020,17,28787.0,12647.0,4765.0
75+,4865.12,2917.87,1725.86,10-20-2020,17,26611.0,15960.0,9440.0
Citywide,2968.72,695.66,229.7,10-20-2020,17,249335.0,58427.0,19292.0
0-17,584.05,40.48,0.87,10-21-2020,17,10086.0,699.0,15.0
